exam,q_no,category
65th BPSC,49,Polity
65th BPSC,50,Polity
65th BPSC,51,Current Affairs
65th BPSC,52,Economics
65th BPSC,53,Economics
65th BPSC,54,Current Affairs
65th BPSC,55,Economics
65th BPSC,56,Economics
65th BPSC,57,Bihar Special
65th BPSC,58,Bihar Special
65th BPSC,59,Bihar Special
65th BPSC,60,Bihar Special
65th BPSC,61,Bihar Special
65th BPSC,62,Economics
65th BPSC,63,Economics
65th BPSC,64,Economics
65th BPSC,65,Modern History
65th BPSC,66,Modern History
65th BPSC,67,Modern History
65th BPSC,68,Modern History
65th BPSC,69,Modern History
65th BPSC,70,Modern History
65th BPSC,71,Modern History
65th BPSC,72,Bihar Special
65th BPSC,73,Bihar Special
65th BPSC,74,Modern History
65th BPSC,75,Bihar Special
65th BPSC,76,Bihar Special
65th BPSC,77,Modern History
65th BPSC,78,Modern History
65th BPSC,79,Modern History
65th BPSC,80,Modern History
65th BPSC,81,Math
65th BPSC,82,Math
65th BPSC,83,Math
65th BPSC,84,Math
65th BPSC,85,Math
65th BPSC,86,Math
65th BPSC,87,Math
65th BPSC,88,Math
65th BPSC,89,Math
65th BPSC,90,Math
65th BPSC,91,Chemistry
65th BPSC,92,Chemistry
65th BPSC,93,Chemistry
65th BPSC,94,Chemistry
65th BPSC,95,Chemistry
65th BPSC,96,Chemistry
65th BPSC,97,Chemistry
65th BPSC,98,Chemistry
65th BPSC,99,Chemistry
65th BPSC,100,Chemistry
65th BPSC,101,Biology
65th BPSC,102,Biology
65th BPSC,103,Biology
65th BPSC,104,Biology
65th BPSC,105,Biology
65th BPSC,106,Biology
65th BPSC,107,Biology
65th BPSC,108,Biology
65th BPSC,109,Biology
65th BPSC,110,Biology
65th BPSC,111,Physics
65th BPSC,112,Physics
65th BPSC,113,Physics
65th BPSC,114,Physics
65th BPSC,115,Physics
65th BPSC,116,Physics
65th BPSC,117,Physics
65th BPSC,118,Biology
65th BPSC,119,Physics
65th BPSC,120,Physics
65th BPSC,121,Current Affairs
65th BPSC,122,Current Affairs
65th BPSC,123,Current Affairs
65th BPSC,124,Current Affairs
65th BPSC,125,Current Affairs
65th BPSC,126,Current Affairs
65th BPSC,127,Current Affairs
65th BPSC,128,Current Affairs
65th BPSC,129,Current Affairs
65th BPSC,130,Current Affairs
65th BPSC,131,Current Affairs
65th BPSC,132,Current Affairs
65th BPSC,133,Current Affairs
65th BPSC,134,Current Affairs
65th BPSC,135,Current Affairs
65th BPSC,136,Bihar Special
65th BPSC,137,Bihar Special
65th BPSC,138,Polity
65th BPSC,139,Bihar Special
65th BPSC,140,Bihar Special
65th BPSC,141,Bihar Special
65th BPSC,142,Bihar Special
65th BPSC,143,Current Affairs
65th BPSC,144,Current Affairs
65th BPSC,145,Current Affairs
65th BPSC,146,Current Affairs
65th BPSC,147,Current Affairs
65th BPSC,148,Current Affairs
65th BPSC,149,Current Affairs
65th BPSC,150,Current Affairs
66th BPSC,1,Physics
66th BPSC,2,Physics
66th BPSC,3,Physics
66th BPSC,4,Chemistry
66th BPSC,5,Physics
66th BPSC,6,Physics
66th BPSC,7,Physics
66th BPSC,8,Physics
66th BPSC,9,Chemistry
66th BPSC,10,Chemistry
66th BPSC,11,Biology
66th BPSC,12,Chemistry
66th BPSC,13,Biology
66th BPSC,14,Chemistry
66th BPSC,15,Chemistry
66th BPSC,16,Chemistry
66th BPSC,17,Chemistry
66th BPSC,18,Chemistry
66th BPSC,19,Chemistry
66th BPSC,20,Physics
66th BPSC,21,Biology
66th BPSC,22,Biology
66th BPSC,23,Biology
66th BPSC,24,Biology
66th BPSC,25,Biology
66th BPSC,26,Biology
66th BPSC,27,Biology
66th BPSC,28,Biology
66th BPSC,29,Biology
66th BPSC,30,Biology
66th BPSC,31,Current Affairs
66th BPSC,32,Current Affairs
66th BPSC,33,Current Affairs
66th BPSC,34,Current Affairs
66th BPSC,35,Current Affairs
66th BPSC,36,Current Affairs
66th BPSC,37,Current Affairs
66th BPSC,38,Current Affairs
66th BPSC,39,Current Affairs
66th BPSC,40,Current Affairs
66th BPSC,41,Bihar Special
66th BPSC,42,Bihar Special
66th BPSC,43,Current Affairs
66th BPSC,44,Bihar Special
66th BPSC,45,Current Affairs
66th BPSC,46,Current Affairs
66th BPSC,47,Current Affairs
66th BPSC,48,Current Affairs
66th BPSC,49,Current Affairs
66th BPSC,50,Current Affairs
66th BPSC,51,Current Affairs
66th BPSC,52,Current Affairs
66th BPSC,53,Current Affairs
66th BPSC,54,Current Affairs
66th BPSC,55,Current Affairs
66th BPSC,56,Current Affairs
66th BPSC,57,Current Affairs
66th BPSC,58,Current Affairs
66th BPSC,59,Current Affairs
66th BPSC,60,Current Affairs
66th BPSC,67,Medieval
66th BPSC,68,Medieval
66th BPSC,69,Modern History
66th BPSC,70,Modern History
66th BPSC,71,Modern History
66th BPSC,72,Modern History
66th BPSC,73,Modern History
66th BPSC,74,Modern History
66th BPSC,75,Modern History
66th BPSC,76,Bihar Special
66th BPSC,77,Bihar Special
66th BPSC,78,Ancient History
66th BPSC,79,Bihar Special
66th BPSC,80,Bihar Special
66th BPSC,81,Geography
66th BPSC,82,Geography
66th BPSC,83,Geography
66th BPSC,84,Geography
66th BPSC,85,Geography
66th BPSC,86,Geography
66th BPSC,87,Geography
66th BPSC,88,Geography
66th BPSC,89,Geography
66th BPSC,90,Bihar Special
66th BPSC,91,Geography
66th BPSC,92,Geography
66th BPSC,93,Geography
66th BPSC,94,Geography
66th BPSC,95,Geography
66th BPSC,96,Bihar Special
66th BPSC,97,Bihar Special
66th BPSC,98,Bihar Special
66th BPSC,99,Bihar Special
66th BPSC,100,Bihar Special
66th BPSC,101,Current Affairs
66th BPSC,102,Polity
66th BPSC,103,Current Affairs
66th BPSC,104,Polity
66th BPSC,105,Polity
